Id,Categoria de Informação,Classe maior,Sub-classe maior,Classe menor,Nomenclatura Greencloud,Nomenclatura PEDEA,Coluna atributo,Link Drive (SHP),Link Drive (KML)
78,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_habitats_alvos_ap_2018_pol,Habitats - alvos de Áreas Prioritárias (MMA_2018),just_alvo,,
79,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_ictiofauna_alvos_ap_2018_pol,Ictiofauna - alvos de Áreas Prioritárias (MMA_2018),nome_popul,,
80,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_ilhas_alvos_ap_2018_pol,Ilhas - alvos de Áreas Prioritárias (MMA_2018),just_alvo,,
81,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_invertebrados_alvos_ap_2018_pol,Invertebrados - alvos de Áreas Prioritárias (MMA_2018),nome_pop,,
82,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_mamiferos_alvos_ap_2018_pol,Mamíferos - alvos de Áreas Prioritárias (MMA_2018),just_alvo,,
83,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Alvos das Áreas Prioritárias,1200_CE_quelonios_alvos_ap_2018_pol,Quelônios - alvos de Áreas Prioritárias (MMA_2018),just_meta,,
84,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Área PEM Ceará,1200_CE_planej_espacial_marinho_2021_pol,Área PEM (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1BQlxa2Su0XkkXruq9H_Y7wYXa_ccezs2?usp=share_link,https://drive.google.com/drive/folders/1GzQPCThdp0G5xHm6N2B_iHdzA5ij_c3Z?usp=share_link
85,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Áreas Híbridas,1200_CE_areas_hibridas_2018_pol,Áreas Híbridas (MMA_2018),acaop_p,,
86,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Áreas prioritárias e Protegidas,1200_CE_areas_prioritarias_marinhas_2018_pol,"Áreas prioritárias conservação biodiversidade (MMA, 2018)",imp,https://drive.google.com/drive/folders/1EXQL6fLCtMQgGTMsnwlPICLY7tP7XIot?usp=share_link,https://drive.google.com/drive/folders/1G1TJzcAuVEuEPWyY00vMxldlFGELnEcV?usp=share_link
87,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Limites Jurisdicionais,1200_CE_limites_jurisdicionais_12milhas_2018_lin,"Limites 12 milhas (CHM-BNDO, 2018)",Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1E-DbqCp8pi8UzG9dhSLhMufgAhEL1pa0?usp=share_link,https://drive.google.com/drive/folders/1GynzxrscjRh7z3rbPqjel75kLLoQlw8j?usp=share_link
88,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Limites Jurisdicionais,1200_CE_limites_jurisdicionais_200milhas_2018_lin,"Limites 200 milhas (CHM-BNDO, 2018)",Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1H_IRI-MlF7LjF2k_2r3yAWOMdvxPMKtO?usp=share_link,https://drive.google.com/drive/folders/1pBE5vG1pLZVnz646JdDDCeNZHh2-5S6g?usp=share_link
89,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Limites Jurisdicionais,1200_CE_limites_jurisdicionais_24milhas_2018_lin,"Limites 24 milhas (CHM-BNDO, 2018)",Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1rEKg6jHspFxmf8EYXIJa32KozvEC7YdG?usp=share_link,https://drive.google.com/drive/folders/1nn6-C2aMo_yXNV14oPTm7b3fJHSBIHWu?usp=share_link
90,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Linha de base,1200_CE_linha_de_base_2019_lin,Linha de Base (DHN_2019),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1HmX6LPhfMG4Q0q59kEaEZmUy9AW8HBVA?usp=share_link,https://drive.google.com/drive/folders/1gbnlryhiQNPwN3lxBNz5eOZtJZqgiTGM?usp=share_link
91,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Terras Indígenas e Quilombolas,1200_CE_areas_quilombolas_2021_pol,Áreas de Quilombolas (INCRA_2021),nm_comunid,https://drive.google.com/drive/folders/1geig__foMCyQtSDBktPJyCc34O8QLhPc?usp=share_link,https://drive.google.com/drive/folders/11TtjqRuAKBYFJ_U6mPWCMInoB7IH3P1I?usp=share_link
92,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Instrumentos Legais,Terras Indígenas e Quilombolas,1200_CE_terras_indigenas_2018_pol,Terras indígenas (FUNAI_2018),terrai_nom,https://drive.google.com/drive/folders/19PW9hhi_0qvuxMqsnAzQJs5AsJHXr8gD?usp=share_link,https://drive.google.com/drive/folders/1r1koWIsioZ9mUw-XSvV6hwRz1aVQXIYc?usp=share_link
93,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_corrente_fundo_BNDO_2022_pto,Correntes - Profundidade > 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1jVGcHCMdaQ0d_JwtiZyOPkE0wGsOXEHQ?usp=share_link,https://drive.google.com/drive/folders/1M6wpnz441b2c4aPDv2W7ox8CtucKr6ah?usp=share_link
94,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_corrente_sup_BNDO_2022_pto,Correntes - Profundidade < 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1mNOqeDqk2tsuBQFwQlHrtU7d19pAc8D8?usp=share_link,https://drive.google.com/drive/folders/1XWCScwHx506mPuGj-lrK88PiI_EmkBLz?usp=share_link
95,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_densidade_fundo_BNDO_2022_pto,Densidade - Profundidade > 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1KCg2AqDkYt7f0ZgLCXzMNimJmVNl_5dQ?usp=share_link,https://drive.google.com/drive/folders/1F-5J-hk5wxtvHv8fxwkMpzlS68zGwupA?usp=share_link
96,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_densidade_sup_BNDO_2022_pto,Densidade - Profundidade < 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1oma2-8Q1DxRG_7Kn3tNEurD57Z5KQ-qG?usp=share_link,https://drive.google.com/drive/folders/1awQhag1B26RduXcxTibf6nq9gqwIeLTF?usp=share_link
97,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_salinidade_fundo_BNDO_2022_pto,Salinidade - Profundidade > 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1rAUzJXHNuS--iUGhjvtZaJPCAJolm1np?usp=share_link,https://drive.google.com/drive/folders/1n5MR1-F_odk6kQV0np62alxWOe9BC3A-?usp=share_link
98,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_salinidade_sup_BNDO_2022_pto,Salinidade - Profundidade < 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1EeiujKanTxK5twvf4vqKYaW6L4VoVnge?usp=share_link,https://drive.google.com/drive/folders/1DLTHmyV-wmnNizG2_qiUmYIdoE9NF_Mo?usp=share_link
99,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_temperatura_fundo_BNDO_2022_pto,Temperatura - Profundidade > 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1MDbBEwXMF6UwT2DnEQXg6U9pjhldv_QH?usp=share_link,https://drive.google.com/drive/folders/1brNmXQDzU-PipTitiDo7AZxYef6tuKnk?usp=share_link
100,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Processos Costeiros e Marinhos,Oceanografia Física,1200_CE_temperatura_sup_BNDO_2022_pto,Temperatura - Profundidade < 100m (BNDO-CHM_2022),projeto,https://drive.google.com/drive/folders/1bdlvlqNyktjKCLqcjAPP0MWDL9qJHCrK?usp=share_link,https://drive.google.com/drive/folders/1VL87iGidMvkl6DOeESYo1DLF_xc4r4zf?usp=share_link
101,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Química de Ambientes Costeiros e Marinhos,Anomalias Geoquímicas,1200_CE_anomalias_geoquimicas_1985_pto,Anomalias Geoquímicas (REMPLAC_1985),element,https://drive.google.com/drive/folders/1GHmgGvPu296KHdUWco9FND27pYzl_px1?usp=share_link,https://drive.google.com/drive/folders/1LcExz_bIh8ODHBtJn6XOimTVW_f-LLwe?usp=share_link
102,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Áreas de Risco Geológico,1200_CE_areas_risco_geologico_2012_pol,Áreas de Risco Geológico (CPRM_2012),tipolo_g1,,
103,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Erosão Costeira,1200_CE_panorama_erosao_costeira_2017_pto,Panorama de erosão costeira (MMA/PGGM_2018),situacao,https://drive.google.com/drive/folders/1KEEJ7ZtP_aC0nbdeJ_KgpAlGMJvZpNKC?usp=share_link,https://drive.google.com/drive/folders/1Wr2UlvwYq5if5CDdSI3jaUpAIfJ1J3Rl?usp=share_link
104,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Ocorrências de manchas de óleo,1200_CE_ocorrencias_oleo_19_20_2019_pto,Ocorrências de manchas de óleo (CCMA_2019 a 2020),setor,,
105,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Ocorrências de manchas de óleo,1200_CE_ocorrencias_oleo_1semestre_2022_pto,Ocorrências de manchas de óleo (CCMA_2022-1º Semestre),setor,,
106,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Ocorrências de manchas de óleo,1200_CE_ocorrencias_oleo_2semestre_2022_pto,Ocorrências de manchas de óleo (CCMA_2022-2º Semestre),setor,https://drive.google.com/drive/folders/1n2mfgpoNyaoR-NLCDbM0tBOA1svi6RX-?usp=share_link,https://drive.google.com/drive/folders/1avD5-RW53vHibfE_7Vq9Y-tpZ3LG02Cs?usp=share_link
107,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Riscos Costeiros e Marinhos,Postos de guarda vidas,1200_CE_postos_guarda_vidas_2022_pto,Postos de guarda vidas (CBMCE_2022),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1YA4on4ppKUKO-D3QdkE2321KPqvhS1II?usp=share_link,https://drive.google.com/drive/folders/1CKZY1J071aECKvziKO3w-uPrarlyM0wM?usp=share_link
108,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,"Área militar, união",1200_CE_area_militar_farois_2021_pto,Faróis de navegação (DHN_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1CiC2vQou4w0inE_ub4LAK7xePQ2QcPRb?usp=share_link,https://drive.google.com/drive/folders/1fKGTxAbn-42t7CwUsBEaHOo4rJWDIFQJ?usp=share_link
109,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Áreas de banho de mar e lazer,1200_CE_banho_mar_2021_pto,Pontos balneares (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1hBlY2MPJG97ciAzqzEYYYdl596sk-5Vb?usp=share_link,https://drive.google.com/drive/folders/10hs_MRL4qdwHvuvCNF1L7Mw1YOY66Kyf?usp=share_link
110,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Áreas de fundeio,1200_CE_fundeios_2004_pto,Pontos de ancoragem (MMA_2004),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1PRInnrKeEs20Dxu0sjattjpayItSxKUL?usp=share_link,https://drive.google.com/drive/folders/1-2sO6TW6YnjMaOh3UUUnVy6zLZVYFRof?usp=share_link
111,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_altinha_2021_pto,Esportes - Altinha (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1R1v5jAmF805dOw9qe16cLon-74VBaesA?usp=share_link,https://drive.google.com/drive/folders/12wK-uRWyHuXGRVHzkvPVNC6u_JPwxwqj?usp=share_link
112,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_beach_boxing_2021_pto,Esportes naúticos - Beach boxing (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1WnMPuk5d4ZBUOUL8JxVvzSuuCx9PCk0Y?usp=share_link,https://drive.google.com/drive/folders/1tWvIolonrkhl9xoVgYjIbyTaIauLW0HL?usp=share_link
113,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_bodyboarding_2021_pto,Esportes naúticos - Bodyboard (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1HTCJT0nYq9MwRFRl4yvV9BNo-dNU8g8a?usp=share_link,https://drive.google.com/drive/folders/1oSExvFjxMrvu0V4e2t7IwQoyl-MKUAJo?usp=share_link
114,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_buggy_2021_pto,Prática - Buggy (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1FT81tmDP0kwLGaVtpyNy9m-sZVLXViXw?usp=share_link,https://drive.google.com/drive/folders/1lQ9Ir5kzIsXtF9nhcCfwY6g7emc2MFEn?usp=share_link
115,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_caiaque_2021_pto,Esportes naúticos - Caiaque (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/17RYjkSD98LHeSx5y8yrtHWVx_vGhxKrp?usp=share_link,https://drive.google.com/drive/folders/1fdJLhtN-IBwaqneejyvnQH1-aWqsU5Ut?usp=share_link
116,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_caminhada_2021_pto,Esportes naúticos - Caminhada (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1DkgetTxrnbP8-86uS0dBo6mHhY3S6hUW?usp=share_link,https://drive.google.com/drive/folders/1AM4I29hgZgGkk1MF-4TqmleYcMf69YUt?usp=share_link
117,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_canoagem_2021_pto,Esportes naúticos - Canoagem (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/17iPZBvaAehOjYxIwd2dEfuO5C7d2PVpC?usp=share_link,https://drive.google.com/drive/folders/1doF-JALHqizJY83mtWOkeDrcJr9fciYq?usp=share_link
118,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_cavalgada_2021_pto,Prática - Cavalgada (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1LLfTygx4Z9BNTrIgw-PNdcyBKzH7bPHj?usp=share_link,https://drive.google.com/drive/folders/1-E4zSTiJWSdXcum6bZDk5xFgQF351g1e?usp=share_link
119,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_ciclismo_2021_pto,Prática - Ciclismo (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1zUuJ1C4_5NrwXmPgJ9vIVCaFvVHTZbpQ?usp=share_link,https://drive.google.com/drive/folders/1WmegaZa9Q4tZR1_pE7KDbW5kxUjRWheD?usp=share_link
120,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_corrida_2021_pto,Prática - Corrida (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1Uo12LnU67ijbIz1VKyQXFXGGfNlmviIk?usp=share_link,https://drive.google.com/drive/folders/1o7KOwV_Uvg_21AGVHpGkpFUZ06F_zBxC?usp=share_link
121,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_esqui_aquatico_2021_pto,Esportes náuticos - Esqui aquático (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1bAKDgiE31yBfAWjtgQn47cEVkDLTQem0?usp=share_link,https://drive.google.com/drive/folders/1p88k6wppLtd1yWQ1pR5MXKj-3D9_pOtZ?usp=share_link
122,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_frescobol_2021_pto,Prática - Frescobol (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1jjl3yrvZz5oZT37NEIIJMrhY9XWeMRVq?usp=share_link,https://drive.google.com/drive/folders/17sxBHPEe-mKPUN7qDiJOpGIsVwIzRsSZ?usp=share_link
123,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_frisbee_2021_pto,Prática - Frisbee (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1eFPfeaDx6sqwQKD53As2GLhvpXGbcjhA?usp=share_link,https://drive.google.com/drive/folders/1s5etBwyLUH9x21J8mrFOa4NJlqOLw19r?usp=share_link
124,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_futebol_americano_2021_pto,Prática - Futebol Americano (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1GkH5KuV5iyCBkjz_QNyHEnZI84_J3GQz?usp=share_link,https://drive.google.com/drive/folders/1bs9EJVVT8aCdsAny67kg-INSBUC74KDM?usp=share_link
125,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_futebol_de_areia_2021_pto,Prática - Futebol de Areia (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1e5xnsLaTF7oKAmMEk3PYP__b1g7Med_f?usp=share_link,https://drive.google.com/drive/folders/1ntZUi11eV5gKqYlg4_w8akkPutt1Rrqj?usp=share_link
126,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_futevolei_2021_pto,Prática - Futevolei (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1gwqZ0govRaPztHbXzj2JwNL1S2qUKExY?usp=share_link,https://drive.google.com/drive/folders/1iIhBtswSyL4mIUBX5rSGN4v8G0YxTYq8?usp=share_link
127,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_futmesa_2021_pto,Prática - Futmesa (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1nofjdolhPaoIN69sxdMgb4PNlDd09bzG?usp=share_link,https://drive.google.com/drive/folders/1LlbwGuEfSRT0e0NIe3IyemnOx-BQEOv3?usp=share_link
128,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_handbol_2021_pto,Prática - Handbol (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1Xgt-Oll7s12lB2DBWTrPKJRKqzvim8pY?usp=share_link,https://drive.google.com/drive/folders/1HUYgFCIu6Ya0wYRWunDPOyMif-bWq8pI?usp=share_link
129,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_kitesurf_2021_pto,Esportes naúticos - Kitesurf (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1Y5Cz185HD8zSm529sSJH5vJS6_ANkmfS?usp=share_link,https://drive.google.com/drive/folders/1psEGHbgjqMYguOpYjR5cNCUAsmdqjMkP?usp=share_link
130,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_mergulho_2021_pto,Prática - Mergulho (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1W9cdEAXvHpbBQqZKPNhiTwJPXapx9r5D?usp=share_link,https://drive.google.com/drive/folders/103vQdQ8RfPSVSCBzoTrEAWBWOXLTnK5W?usp=share_link
131,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_moto_aquatica_2021_pto,Prática - Moto Aquática (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1eF_RFRiI9LBY7nE9ZKX4fndzf2FneDc6?usp=share_link,https://drive.google.com/drive/folders/1yjEDsLpO3hJKcPIq0Wj0QZFCmBOxTVHy?usp=share_link
132,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_natacao_2021_pto,Prática - Natação (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/15Mjl9ulqACXxPRrYKn8CNHDgx2sCmYNn?usp=share_link,https://drive.google.com/drive/folders/1GNxs0B_9g34B6L1yhuqI16i40lm2YlN2?usp=share_link
133,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_parapente_2021_pto,Prática - Parapente (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/107pM2bvnQfr1odZHVMZhM5xx5M_id_Li?usp=share_link,https://drive.google.com/drive/folders/18QO5x2nQrplsKNGAhcrm64LqYlgSIBCB?usp=share_link
134,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_patinacao_2021_pto,Prática - Patinação (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1XUhSR2GCXMn0fHAEVgLQtNJv_Zj8mDwg?usp=share_link,https://drive.google.com/drive/folders/1We65FJgBVgQLplefSsPj8qPPSZDAvjzE?usp=share_link
135,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_quadriciclo_2021_pto,Prática - Quadriciclo (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1lZbh9Ovmaf93pmdhgMu5gQxI_RLSzP_d?usp=share_link,https://drive.google.com/drive/folders/1_WY6AMzkqTU7DL_OZq0_IUSYeVKRRKhZ?usp=share_link
136,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_remo_2021_pto,Esportes naúticos - Remo (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1MeWsK-A1Eul8p26EVYcL3pMlcsC69AHb?usp=share_link,https://drive.google.com/drive/folders/1XyN5mU0aC3cpQK1G_278h4nFtw3jgsIJ?usp=share_link
137,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_rugbi_2021_pto,Esportes naúticos - Rugbi (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1ZXx8w8R23oBnFSAmWXTYCZggVPo9LE3B?usp=share_link,https://drive.google.com/drive/folders/1o24hPRIzOHwKyN1g6qRV_5pFjAVdMGSY?usp=share_link
138,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_sandboard_2021_pto,Esportes naúticos - sandboard (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/14Uh-SeeqdOXGGY_2dcGFA1ey_-OW6M1F?usp=share_link,https://drive.google.com/drive/folders/1b-_no__4f995wlCxribtuzDpQFlyAlYC?usp=share_link
139,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_skate_2021_pto,Esportes naúticos - skate (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1bwAIechaIH0dWAt0VRqHHXScOREfiJFr?usp=share_link,https://drive.google.com/drive/folders/1Z35szt7GAcNhZNkNf_iHZNbhAXVga1i1?usp=share_link
140,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_skimboard_2021_pto,Esportes naúticos - skimboard (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1NlnBtRGs99NIThpN6n1LhyqOMVKd-PW8?usp=share_link,https://drive.google.com/drive/folders/1l_0ztqOAFY_lNNMwIcReIpH_pPTqOPYx?usp=share_link
141,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_slackline_2021_pto,Esportes naúticos - slackline (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1CBkOxc1v885A7m57g0ZVzKNSFVF1dd0p?usp=share_link,https://drive.google.com/drive/folders/1Y_tMXOMRrnwOLbX0meRoquWa_fNuyKC_?usp=share_link
142,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_standup_paddle_2021_pto,Esportes naúticos - Standup paddle (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1IEyqBhufn0DtChDB4x3xqSup10oY5F5v?usp=share_link,https://drive.google.com/drive/folders/1FwiLqmI_94XbnqQGd8FSygs1hspKRBHM?usp=share_link
143,Instrumentos e Projetos Territoriais,Atlas Digital Costeiro e Marinho do Ceará,Usos e Atividades,Atividades esportivas,1200_CE_surf_2021_pto,Esportes naúticos - Surf (CCMA_2021),Simbologia não categorizada por atributo,https://drive.google.com/drive/folders/1CgxtTuNRsGx7Fz_u4x4gG9slyGN6Bt2e?usp=share_link,https://drive.google.com/drive/folders/1njWTkHU2ZINHEYFWRhayt27DF8dzlz8Q?usp=share_link
